! columns separated by tab (0x09)
! lines   separated by nl  (0x0a)
!基準日		1年	2年	3年	4年	5年	6年	7年	8年	9年	10年	15年	20年	25年	30年	40年
4.01		0.060	0.055	0.069	0.116	0.137	0.184	0.283	0.391	0.487	0.565	1.059	1.440	1.532	1.586	1.699
4.02		0.060	0.056	0.075	0.121	0.141	0.189	0.289	0.395	0.489	0.565	1.045	1.408	1.499	1.550	1.668
4.03		0.060	0.056	0.075	0.123	0.137	0.174	0.274	0.385	0.474	0.555	1.037	1.413	1.508	1.559	1.671
4.04		0.060	0.058	0.078	0.118	0.131	0.148	0.221	0.305	0.373	0.442	0.829	1.176	1.237	1.291	1.405
4.05		0.080	0.082	0.107	0.162	0.180	0.246	0.379	0.456	0.491	0.534	0.852	1.170	1.233	1.279	1.368
4.08		0.090	0.094	0.116	0.170	0.184	0.226	0.352	0.447	0.483	0.525	0.898	1.260	1.336	1.375	1.441
4.09		0.100	0.108	0.133	0.184	0.198	0.207	0.322	0.440	0.484	0.531	0.951	1.326	1.410	1.438	1.487
4.10		0.118	0.123	0.176	0.246	0.270	0.277	0.383	0.505	0.539	0.585	1.017	1.386	1.474	1.497	1.533
4.11		0.109	0.119	0.149	0.188	0.205	0.221	0.322	0.462	0.509	0.555	1.039	1.432	1.532	1.545	1.566
4.12		0.118	0.129	0.167	0.230	0.256	0.303	0.421	0.561	0.592	0.623	1.090	1.476	1.576	1.584	1.599
4.15		0.110	0.130	0.174	0.242	0.271	0.335	0.445	0.580	0.617	0.648	1.126	1.528	1.631	1.640	1.652
4.16		0.110	0.130	0.168	0.227	0.263	0.314	0.404	0.525	0.563	0.595	1.090	1.501	1.614	1.633	1.648
4.17		0.110	0.130	0.163	0.212	0.249	0.305	0.406	0.525	0.569	0.604	1.110	1.533	1.647	1.668	1.696
4.18		0.111	0.130	0.160	0.204	0.239	0.281	0.376	0.484	0.546	0.589	1.071	1.501	1.609	1.633	1.666
4.19		0.111	0.125	0.147	0.193	0.224	0.271	0.366	0.458	0.534	0.584	1.025	1.442	1.552	1.581	1.625
4.22		0.112	0.125	0.147	0.199	0.230	0.291	0.392	0.484	0.559	0.612	1.062	1.482	1.600	1.628	1.676
4.23		0.112	0.120	0.146	0.197	0.226	0.275	0.366	0.459	0.534	0.589	1.037	1.454	1.574	1.606	1.659
4.24		0.113	0.120	0.148	0.201	0.229	0.279	0.371	0.470	0.544	0.600	1.053	1.485	1.600	1.629	1.683
4.25		0.113	0.123	0.152	0.206	0.237	0.278	0.362	0.455	0.529	0.585	1.038	1.486	1.605	1.637	1.697
4.26		0.113	0.124	0.156	0.216	0.248	0.289	0.370	0.464	0.538	0.594	1.045	1.483	1.598	1.631	1.693
4.30		0.115	0.122	0.156	0.217	0.250	0.298	0.383	0.475	0.549	0.611	1.060	1.490	1.592	1.623	1.687
!
5.01		0.115	0.115	0.143	0.202	0.235	0.278	0.361	0.455	0.529	0.591	1.040	1.468	1.572	1.611	1.672
5.07		0.107	0.112	0.135	0.193	0.233	0.275	0.365	0.458	0.535	0.598	1.057	1.490	1.601	1.647	1.701
5.08		0.108	0.113	0.135	0.188	0.229	0.271	0.365	0.459	0.535	0.598	1.062	1.504	1.611	1.666	1.714
5.09		0.108	0.113	0.135	0.188	0.230	0.272	0.365	0.459	0.535	0.599	1.067	1.510	1.625	1.682	1.734
5.10		0.109	0.113	0.160	0.237	0.287	0.351	0.470	0.565	0.640	0.700	1.144	1.563	1.672	1.725	1.779
5.13		0.110	0.125	0.188	0.278	0.339	0.419	0.547	0.646	0.719	0.778	1.222	1.615	1.719	1.767	1.820
5.14		0.110	0.135	0.235	0.338	0.405	0.498	0.632	0.736	0.800	0.853	1.285	1.646	1.742	1.784	1.845
5.15		0.110	0.135	0.245	0.358	0.431	0.523	0.658	0.764	0.824	0.868	1.311	1.655	1.746	1.787	1.862
5.16		0.110	0.130	0.223	0.328	0.404	0.494	0.623	0.729	0.794	0.843	1.299	1.655	1.751	1.792	1.876
5.17		0.111	0.130	0.202	0.308	0.377	0.455	0.578	0.688	0.751	0.806	1.280	1.652	1.751	1.793	1.891
5.20		0.111	0.131	0.209	0.328	0.410	0.496	0.638	0.751	0.806	0.849	1.316	1.678	1.779	1.818	1.911
5.21		0.112	0.131	0.209	0.331	0.421	0.515	0.661	0.775	0.836	0.882	1.341	1.691	1.798	1.839	1.948
5.22		0.112	0.125	0.199	0.312	0.412	0.511	0.661	0.775	0.840	0.886	1.361	1.704	1.824	1.868	1.974
